Date,Initials,Clinic,User,Reason,Note,Resolution,Ticket,Escalated,Technician,0-3,4-10,11-20,21-30,31+,Remote session,3+ topics,BP Reinstall,JIRA
2/23,AS,UK_thc,Katie,Online forms,Using word's built in document protection for online forms which was causing all kinds of issues.  Workshopped the form a little and show her how to use the template tool,Resolved,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
2/23,SF,SD_bah,Stephanie,3rd party billing,Needed help untangling a sequence of 3rd party returns.,Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,LB,MN_ahm,Roxi,Claims tracking,Invoice amount on a claim was incorrect. Just needed to edit the invoice.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,SF,BC_val,Joe,QBO integration/accounting question,"Interested in getting setup with QBO, didn't know there was a fee. Wondering if the startup pricing applies to QBO as well.",Unresolved,267390,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,AS,Unknown,Zoe,Out of scope,Wondering if we support NOAH modules,Caller disconnected,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,AS,ON_tms,Isabelle,Installation assistance,Install on a new pc,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,mm,NS_ech,Jing,Backend configuration,wanted to speak to Jenna,Transferred,266524,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,SF,AB_inn,Anu,Audiology,"Signature was pulling an error image. Provider set to ""Generic Noah User."" Showed her how to change the provider on an audiogram and pointed out the Noah linked user list settings.",Resolved,267305,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,mm,RI_ata,Micheline,QBD skipped messages,has a few skips that we cannot resolve. I updated the ticket with the details,Unresolved,266923,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,AS,NY_hom,Heidi,Out of scope,"NOAH 308, repaired in control panel and fixed it",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,SF,TX_exh,Laurie,Installation assistance,"Blueprint installed in OneDrive. Helped her get it reinstalled.

Noah Reintegration as well.",Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,mm,AB_inn,Anu,Local Noah question,"noah import  user list wasn't set up for her new clinician. Showed her how to create that. Also explained to her how the noah import settings > default user works. She also had a question about sms and why texts going out of the system ended up in her SMS spam. Apparently using telnyx, some providers flag those messages as spam. She's going to do her own research and give us feedback. ",Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,AS,IL_mac,Jessica,Schedule questions/issues,Clicked quickadds only,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,mm,OH_aal,Kim,Enter bank deposit,needed some guidance on how to recreate a payment so that it shows up in the bank deposits screen again. She was told to delete the original saved deposit because it was entered on the wrong date,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,AS,MD_jas,Marcy,Reports,Wondering if there was a way to see cash payments for a specific provider only,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,LB,IA_wol,Stacey,User error correction,"Ordered and received items they didn't want by mistake. Don't want to return, will create a ticket to delete off the backend.",Unresolved,267417,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,AS,TX_fhp,Art,Document scanning,"Clicking scan was freezing bp, installed 32bit and it worked right away",Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,
2/23,mm,TX_thh,Emily,3rd party billing,needed help cleaning up an old invoice. Showed her how to create writeoff,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,SF,AB_ety,Trish,Form assistance,"Question about how to get information added to an audiogram form. Since they are needing the information entered onto the form before the audiogram, told her they would need to be separate.",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,mm,AB_hlc,Brittany,Online forms,wanted to know of a quick way to create an online form to send surveys out. ,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,LB,ON_laa,Marvin,Order/sale process,"Looking for an item to put out an estimate. Item was an accessory, not an orderable item.",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,SF,CA_sjs,Meredith,Manual marketing,Wanted help pulling a list of patients of a specific type. Got connected and walked her through it.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,mm,IL_nsa,Lydia,3rd party billing,how to create a write off when the patient already paid,Resolved,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,SF,NY_lsa,Joanne,Electronic claim submission,"Claims not making it to insurers since February. Successfully verified the clearinghouse configuration to Office Ally. They've been looking up claims in Availity, but we don't integrate with them (FD#253746). Told them it was most likely an issue with Office Ally and Availity (I didn't see evidence that it was Blueprint) and asked her to confirm whether their Office Ally portal had the claims that were missing. She was unfamiliar with the portal, so she wasn't able to find them.",Contacting 3rd Party,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,
2/23,JP,BC_ech,Laura,Return/exchange help,User was confused about applying a return credit to a new invoice. Explained the process and steps required,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,AS,AB_cec,Karen,Update users,User is missing the backdate accounting privilege,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,LB,AB_hlc,Brittany,Minor template edits,Check boxes on an the survey online form aren't coming through when the form is submitted. Couldn't figure out why this was happening over the phone. Will create a ticket to investigate further.,Unresolved,267419,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,AS,FL_ahti,Tim,Reports,Wondering if there is a report that will show the total amount they billed for the year,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,LB,CA_gch,Samuel,3rd party billing,Wondering if there was a way to see patient names on 3rd party payments in the ledger without having to right-click and go to transaction history. Told him about the memo line workaround for payments moving forward.,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,AS,WA_sp,Ashley,General help,Claiming that a note on a patient's file cleared itself when she went to go edit the note.  Has no other examples of this happening,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,AS,silent,Unknown,Silent/spam,"Nobody on the other end, adivsed to try calling back",Representative disconnected,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,NH_drw,Amanda,Installation assistance,"Lawyer given access to Blueprint, but not on user list. Sent LL to user to forward to her in ticket.",Resolved,267437,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,MI_rah,Melissa,Schedule questions/issues,"Called to help get rid of the ""provider not available at this time"" message by updating availability settings. Showed her how to add availability.",Resolved,267152,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,SF,NC_hsi,Ken,Cloud Noah issue,Cannot connect to server message. 50138. Rebooting the computer fixed it.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,LB,PA_ka,Pete,Minor template edits,Wants to create a new invoice template with their a new logo and company name hardcoded. Will create a ticket and let them know once this has been done.,Waiting on Customer,267472,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,LB,NC_gdh,Olivia,Order/sale process,Applying part of a payment to a deposit.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,SF,WI_fvhc,Grace,QBD sync issues,Credit card payments didn't get pushed into QB. Creating ticket for L2.,Unresolved,267438,TRUE,Jerussha,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JP,AB_ety,Patti,Marketing template issues/questions,"Where to see available automated campaigns and criteria, where to edit templates. Difference between automated marketing and automated reminders",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,LB,AZ_whg,Diana,Setup configuration,Changing a locations address.,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,AS,Unknown,Cynthia,Silent/spam,Call dropped a few seconds into the call,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,ON_insl,Kate,Document scanning,"Scanner not scanning multiple pages. Didn't seem to have a twain driver.  Tried installing new drivers, but needed admin access. Will call back if driver installation doesn't work.",Contacting 3rd Party,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JI,TX_kha,Kelly,Patient/private billing,Wanted to know what report shows all patient payments through the year,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,LB,ME_adf,Ted,3rd party billing,Trying to apply what they belived was a payment to another sale. Informed him that the payment was in fact a sale and they could determine the transaction type using the type column in the 3rd party ledger.,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,AS,TX_bet,Sandra,Claims tracking,Wondering how to get the pending 3rd party reminbursement to go away on a patients summary tab,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,SF,FL_amv,Alfred,Interactive SMS,"Just got set up with SMS, wanted a quick tour.",Resolved,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JI,ON_aly,Alysha,Interactive SMS,Questions on provisioning sms,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/24,LB,ME_adf,Ted,3rd party billing,Applying a 3rd party return credit.,Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/24,JP,CT_ahhc,John,Reports,why the ordered column was N for a patient on the opp closing rate report. (it's because the order was before the appointment),Resolved,267445,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
